ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
3,0.000,0.000,0.000,0.000,{built-in method _warnings._filters_mutated}
14,0.000,0.000,0.000,0.000,{method 'encode' of 'str' objects}
10865,0.008,0.000,0.008,0.000,{method 'replace' of 'str' objects}
37179,0.023,0.000,0.023,0.000,{method 'split' of 'str' objects}
31432,0.014,0.000,0.014,0.000,{method 'join' of 'str' objects}
166326,0.081,0.000,0.081,0.000,{method 'count' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'expandtabs' of 'str' objects}
13,0.000,0.000,0.000,0.000,{method 'partition' of 'str' objects}
46717,0.011,0.000,0.011,0.000,{method 'lower' of 'str' objects}
12594,0.007,0.000,0.007,0.000,{method 'lstrip' of 'str' objects}
33,0.000,0.000,0.000,0.000,{method 'rfind' of 'str' objects}
102,0.000,0.000,0.000,0.000,{method 'rstrip' of 'str' objects}
2415,0.002,0.000,0.002,0.000,{method 'rpartition' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'strip' of 'str' objects}
43,0.000,0.000,0.000,0.000,{method 'upper' of 'str' objects}
5914,0.004,0.000,0.004,0.000,{method 'startswith' of 'str' objects}
30,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
36,0.000,0.000,0.000,0.000,{method 'isidentifier' of 'str' objects}
15067,0.030,0.000,0.030,0.000,{method 'format' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'mro' of 'type' objects}
187507,0.091,0.000,0.091,0.000,{built-in method __new__ of type object at 0x559c1ebe5240}
23201,0.007,0.000,0.007,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
2282,0.003,0.000,0.003,0.000,{method 'difference' of 'set' objects}
4286338,0.595,0.000,0.595,0.000,{function RcParams.__getitem__ at 0x7ff6ab51a710}
2011937,0.280,0.000,0.280,0.000,{method 'get' of 'dict' objects}
10534,0.003,0.000,0.003,0.000,{method 'setdefault' of 'dict' objects}
1426818,0.349,0.000,0.349,0.000,{method 'pop' of 'dict' objects}
4469703,0.489,0.000,0.489,0.000,{method 'items' of 'dict' objects}
484613,0.067,0.000,0.067,0.000,{method 'values' of 'dict' objects}
200836,0.077,0.000,0.077,0.000,{method 'update' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{built-in method fromkeys}
1,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
5881,0.002,0.000,0.002,0.000,{method 'copy' of 'dict' objects}
21,0.000,0.000,0.000,0.000,{built-in method from_bytes}
1,0.000,0.000,0.000,0.000,{method 'copy' of 'list' objects}
1434245,0.197,0.000,0.197,0.000,{method 'append' of 'list' objects}
1573,0.001,0.000,0.001,0.000,{method 'insert' of 'list' objects}
10987,0.003,0.000,0.003,0.000,{method 'extend' of 'list' objects}
2,0.000,0.000,0.000,0.000,{method 'pop' of 'list' objects}
12705,0.006,0.000,0.006,0.000,{method 'remove' of 'list' objects}
39,0.000,0.000,0.000,0.000,{method 'index' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'count' of 'list' objects}
12593,0.003,0.000,0.003,0.000,{method 'reverse' of 'list' objects}
8,0.000,0.000,0.000,0.000,{method 'sort' of 'list' objects}
5,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
1,0.000,0.000,0.000,0.000,{method 'translate' of 'bytearray' objects}
1,0.000,0.000,0.000,0.000,{method 'decode' of 'bytes' objects}
12,0.000,0.000,0.000,0.000,{method 'endswith' of 'bytes' objects}
1574,0.019,0.000,0.019,0.000,{method 'join' of 'bytes' objects}
1,0.000,0.000,0.000,0.000,{method 'rfind' of 'bytes' objects}
12,0.000,0.000,0.000,0.000,{method 'startswith' of 'bytes' objects}
88032,0.029,0.000,0.029,0.000,{built-in method torch._C._get_cudnn_enabled}
1572,0.005,0.000,0.005,0.000,{built-in method torch.get_default_dtype}
64452,0.015,0.000,0.015,0.000,{built-in method torch._C._has_torch_function_unary}
88032,0.025,0.000,0.025,0.000,{built-in method torch._C._has_torch_function_variadic}
3144,0.001,0.000,0.001,0.000,{built-in method torch._C._set_grad_enabled}
4716,0.002,0.000,0.002,0.000,{built-in method torch.is_grad_enabled}
3144,0.029,0.000,0.029,0.000,{built-in method torch.as_tensor}
1573,0.029,0.000,0.029,0.000,{built-in method torch.from_numpy}
4716,0.012,0.000,0.012,0.000,{built-in method torch.feature_dropout}
4716,0.094,0.000,0.094,0.000,{built-in method torch.sigmoid}
25152,0.135,0.000,0.135,0.000,{built-in method torch.transpose}
1574,0.014,0.000,0.014,0.000,{built-in method torch.unsqueeze}
3144,0.037,0.000,0.037,0.000,{built-in method torch.zeros}
92748,6.856,0.000,6.856,0.000,{built-in method torch.conv2d}
88032,3.037,0.000,3.037,0.000,{built-in method torch.batch_norm}
28296,0.702,0.000,0.702,0.000,{built-in method torch.cat}
4716,0.083,0.000,0.083,0.000,{built-in method torch.exp}
4716,0.180,0.000,0.180,0.000,{built-in method torch.pixel_shuffle}
58164,0.979,0.000,0.979,0.000,{built-in method torch.relu_}
26724,0.955,0.000,0.955,0.000,{method 'contiguous' of 'torch._C._TensorBase' objects}
3144,0.311,0.000,0.311,0.000,{method 'cpu' of 'torch._C._TensorBase' objects}
94320,0.054,0.000,0.054,0.000,{method 'dim' of 'torch._C._TensorBase' objects}
4716,0.036,0.000,0.036,0.000,{method 'numpy' of 'torch._C._TensorBase' objects}
25152,0.038,0.000,0.038,0.000,{method 'size' of 'torch._C._TensorBase' objects}
3145,0.287,0.000,0.287,0.000,{method 'to' of 'torch._C._TensorBase' objects}
4716,0.056,0.000,0.056,0.000,{method 'add_' of 'torch._C._TensorBase' objects}
1572,0.022,0.000,0.022,0.000,{method 'any' of 'torch._C._TensorBase' objects}
20436,0.189,0.000,0.189,0.000,{method 'chunk' of 'torch._C._TensorBase' objects}
1572,0.052,0.000,0.052,0.000,{method 'clone' of 'torch._C._TensorBase' objects}
1572,0.105,0.000,0.105,0.000,{method 'div' of 'torch._C._TensorBase' objects}
1572,0.072,0.000,0.072,0.000,{method 'div_' of 'torch._C._TensorBase' objects}
1572,0.001,0.000,0.001,0.000,{method 'is_floating_point' of 'torch._C._TensorBase' objects}
1572,0.023,0.000,0.023,0.000,{method 'permute' of 'torch._C._TensorBase' objects}
1572,0.053,0.000,0.053,0.000,{method 'sub_' of 'torch._C._TensorBase' objects}
1572,0.018,0.000,0.018,0.000,{method 'unbind' of 'torch._C._TensorBase' objects}
86460,0.519,0.000,0.519,0.000,{method 'view' of 'torch._C._TensorBase' objects}
3144,0.009,0.000,0.009,0.000,{built-in method torch._C._is_tracing}
325404,0.302,0.000,0.302,0.000,{built-in method torch._C._get_tracing_state}
3144,0.011,0.000,0.011,0.000,{built-in method torch._C._log_api_usage_once}
3144,0.044,0.000,0.044,0.000,{built-in method torch._ops.profiler._record_function_enter}
3144,0.019,0.000,0.019,0.000,{built-in method torch._ops.profiler._record_function_exit}
1141,0.015,0.000,0.015,0.000,{built-in method scipy.spatial._distance_pybind.cdist_euclidean}
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:346(JpegImageFile)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/BmpImagePlugin.py:27(<module>)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/GifImagePlugin.py:39(LoadingStrategy)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/PpmImagePlugin.py:53(PpmImageFile)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/PpmImagePlugin.py:148(PpmPlainDecoder)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/PpmImagePlugin.py:279(PpmDecoder)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/PpmImagePlugin.py:18(<module>)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/BmpImagePlugin.py:287(BmpRleDecoder)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/BmpImagePlugin.py:62(BmpImageFile)
8,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:647(<listcomp>)
8,0.000,0.000,0.014,0.002,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:634(_save)
8,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:687(validate_qtables)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:34(<module>)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/JpegPresets.py:64(<module>)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/GifImagePlugin.py:63(GifImageFile)
6029,0.503,0.000,0.534,0.000,{method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
1173,0.076,0.000,0.186,0.000,{method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
4317,0.135,0.000,0.144,0.000,{method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
1588,1.016,0.001,1.022,0.001,{method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
1173,0.267,0.000,0.359,0.000,{method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
1587,0.318,0.000,0.318,0.000,{method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/BmpImagePlugin.py:361(DibImageFile)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/PIL/GifImagePlugin.py:27(<module>)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:600(_BackendAgg)
1,0.000,0.000,0.001,0.001,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:22(<module>)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:418(FigureCanvasAgg)
8747,0.020,0.000,0.029,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:52(get_hinting_flag)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/__init__.py:3(<module>)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:109(_update_methods)
1,0.002,0.002,0.002,0.002,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:87(__init__)
6029,0.019,0.000,0.561,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:133(draw_path)
4317,0.047,0.000,1.767,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:224(draw_text)
8747,0.026,0.000,0.318,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:299(_get_agg_font)
5490,0.004,0.000,0.004,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:312(points_to_pixels)
1580,0.002,0.000,0.002,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:316(buffer_rgba)
4317,0.004,0.000,0.004,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:295(get_canvas_width_height)
4430,0.026,0.000,0.994,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:251(get_text_width_height_descent)
3176,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:328(option_image_nocomposite)
1588,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:336(option_scale_image)
1587,0.003,0.000,0.322,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:325(clear)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:68(RendererAgg)
1588,0.021,0.000,37.385,0.024,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:429(draw)
3160,0.023,0.000,0.422,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:441(get_renderer)
1572,0.016,0.000,39.188,0.025,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:480(print_raw)
8,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:471(buffer_rgba)
8,0.000,0.000,0.249,0.031,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:555(print_jpg)
1572,0.010,0.000,0.012,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/visualizer/cif.py:46(predicted)
1572,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/visualizer/cif.py:53(_confidences)
1572,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/visualizer/cif.py:65(_regressions)
1572,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/visualizer/occupancy.py:15(predicted)
1572,0.006,0.000,0.008,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/visualizer/caf.py:45(predicted)
1572,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/visualizer/caf.py:52(_confidences)
1572,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/visualizer/caf.py:66(_regressions)
1572,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/visualizer/seeds.py:17(predicted)
1572,0.008,0.000,1.035,0.001,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/cif_seeds.py:56(fill)
1165,0.068,0.000,0.446,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:86(mark_occupied)
1572,0.006,0.000,0.018,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:120(<listcomp>)
1572,0.106,0.000,8.015,0.005,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:66(__call__)
20916,0.271,0.000,0.398,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:123(connection_value)
17398,0.179,0.000,0.278,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:184(add_to_frontier)
19850,0.096,0.000,0.531,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:198(frontier_get)
1165,0.167,0.000,1.051,0.001,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/cifcaf.py:180(_grow)
2307,0.004,0.000,0.016,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:29(<genexpr>)
1572,0.003,0.000,0.043,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:22(<listcomp>)
1572,0.003,0.000,8.610,0.005,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:17(<listcomp>)
1572,0.002,0.000,8.612,0.005,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:15(starmap)
6288,0.008,0.000,0.379,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:53(<listcomp>)
17292/6288,0.018,0.000,0.389,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:48(apply)
3144,0.008,0.000,0.346,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:65(<lambda>)
1572,0.057,0.000,19.484,0.012,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:43(fields_batch)
1572,0.028,0.000,28.154,0.018,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:84(batch)
1572,0.026,0.000,8.607,0.005,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/generator/generator.py:103(_mappable_annotations)
1162,0.001,0.000,0.027,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:33(<lambda>)
2307,0.002,0.000,0.011,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:30(<genexpr>)
1145,0.003,0.000,0.033,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:53(<listcomp>)
1157,0.001,0.000,0.022,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:54(<lambda>)
1572,0.137,0.000,0.725,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/nms.py:17(annotations)
2717,0.017,0.000,0.047,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/occupancy.py:11(__init__)
1162,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/occupancy.py:28(__len__)
34735,0.318,0.000,0.748,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/occupancy.py:31(set)
139928,0.076,0.000,0.161,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/occupancy.py:41(get)
34735,0.237,0.000,0.276,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/decoder/utils.py:61(scalar_square_add_single)
8,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/core/imgwriter.py:25(getFileName)
1141,0.008,0.000,0.026,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/scipy/spatial/distance.py:2616(cdist)
1,0.000,0.000,0.000,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/core/tracker.py:15(register)
1145,0.028,0.000,0.080,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/core/tracker.py:24(update)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
1572,0.034,0.000,0.034,0.000,{cvtColor}
1572,0.223,0.000,0.223,0.000,{resize}
1573,0.004,0.000,0.004,0.000,{method 'get' of 'cv2.VideoCapture' objects}
1573,0.276,0.000,0.276,0.000,{method 'read' of 'cv2.VideoCapture' objects}
1,0.001,0.001,0.001,0.001,{method 'release' of 'cv2.VideoCapture' objects}
1145,0.021,0.000,0.023,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/core/falldetector.py:13(update)
1145,0.001,0.000,0.001,0.000,/home/wayexists/miniconda3/envs/fall_detection/lib/python3.7/site-packages/openpifpaf/show/painters.py:40(<listcomp>)
